1:	EXT. SNOWSCAPE:	['CLOSER ON THE TWO MEN', 'FOLLOWING THE PRIMITIVES']
29:	INT. FBI OFFICE OF PROFESSIONAL REVIEW - DAY:	["WOMAN'S VOICE (V.O.)", 'CASSIDY', 'AGENT SCULLY', 'CASSIDY', 'RESUME A.D. CASSIDY', 'CASSIDY', 'OVER MULDER AND SCULLY', 'MULDER', 'CASSIDY', 'MULDER', 'CASSIDY', 'MULDER', 'CASSIDY']
30:	INT. HALLWAY OUTSIDE OPR HEARING ROOM - DAY:	['SKINNER', 'MULDER', 'SKINNER', 'MULDER', 'SKINNER', 'MULDER', 'SKINNER', 'MULDER', 'SKINNER', 'FBI --', 'MULDER', 'SKINNER', 'MULDER', 'SKINNER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'SKINNER', 'SCULLY']
31:	INT. DOWNSCALE D.C. BAR - NIGHT:	['BARMAID', 'MULDER', 'BARMAID', 'BARMAID', 'MULDER', 'BARMAID', 'BARMAID', 'MULDER', 'BARMAID', 'MULDER', 'BARMAID', 'MULDER', "MULDER'S POV", 'RESUME MULDER']
32:	INT. REAR OF DOWNSCALE BAR - NIGHT - CONTINUOUS:	None
33:	EXT. ALLEY BEHIND BAR - NIGHT:	['VOICE.', "WATCHFUL MAN'S VOICE", 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'KURTZWEIL', 'KURTZWEIL']
34:	INT. DOWNSCALE D.C. BAR - NIGHT:	['MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL']
35:	EXT. STREET OUTSIDE DOWNSCALE BAR - NIGHT:	['MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'KURTZWEIL', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL']
36:	INT. AGENT SCULLY'S BEDROOM - NIGHT:	None
37:	INT. SCULLY'S APARTMENT - NIGHT:	['MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER']
38:	EXT. TEXAS FLATLAND - NIGHT:	None
39:	INT. UNMARKED BLACK HELICOPTERS - NIGHT:	None
40:	EXT. SMALL DIRT FIELD - CENTRAL TEXAS - NIGHT:	None
41:	INTO HIS FACE we:	None
42:	INT. LARGE WHITE TENT - NIGHT - CONTINUOUS:	['CIGARETTE SMOKING MAN', 'DR. BRONSCHWEIG']
43:	INT. ICE CAVE - CONTINUOUS:	['DR. BRONSCHWEIG', 'CIGARETTE SMOKING MAN', 'DR. BRONSCHWEIG', 'CIGARETTE SMOKING MAN', 'DR. BRONSCHWEIG', 'CIGARETTE SMOKING MAN', 'DR. BRONSCHWEIG', "CLOSE ON MAN'S FACE", 'DR. BRONSCHWEIG', 'CIGARETTE SMOKING MAN', 'DR. BRONSCHWEIG', 'CIGARETTE SMOKING MAN', 'DR. BRONSCHWEIG', 'CIGARETTE SMOKING MAN', 'DR. BRONSCHWEIG', 'CIGARETTE SMOKING MAN']
44:	INT. BETHESDA NAVAL HOSPITAL - NIGHT:	['YOUNG NAVAL GUARD', 'MULDER', 'YOUNG NAVAL GUARD', 'MULDER', 'YOUNG NAVAL GUARD', 'MULDER', 'AM and told to get down ', 'YOUNG NAVAL GUARD', 'MULDER', 'YOUNG NAVAL GUARD', 'MULDER', 'MULDER', 'YOUNG NAVAL GUARD', 'MULDER', 'MULDER']
45:	INT. BETHESDA NAVAL HOSPITAL - MORGUE FREEZER - NIGHT:	['SCULLY', 'MULDER', 'SCULLY', 'SCULLY', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'SCULLY', 'MULDER', 'SCULLY']
46:	INT. MORGUE - PATHOLOGY LAB - NIGHT - MINUTES LATER:	['SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER']
47:	EXT. WASHINGTON D.C. - NIGHT:	['MOVING TOWARDS US.']
48:	INT. WASHINGTON D.C. STREET - TAXI - NIGHT:	['MULDER']
49:	EXT. SIDE STREET - NIGHT:	None
50:	INT. KURTZWEIL'S APARTMENT - NIGHT:	['MULDER', 'DETECTIVE', 'MULDER', 'DETECTIVE', 'DETECTIVE', 'MULDER', 'DETECTIVE', 'ALVIN KURTZWEIL.', 'DETECTIVE', 'MULDER', 'DETECTIVE', 'MULDER']
51:	EXT. KURTZWEIL'S APARTMENT - NIGHT:	["MULDER'S POV", 'RESUME MULDER']
52:	EXT. SPACE BETWEEN TWO APARTMENTS - NIGHT:	['KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER']
53:	INT. MORGUE - PATHOLOGY LAB - NIGHT:	['THEIR POV']
54:	INT. BETHESDA NAVAL HOSPITAL - MORGUE FREEZER - NIGHT:	["MULDER'S VOICE (FILTER)", 'SCULLY']
55:	INTERCUT WITH::	None
56:	INT. PHONE BOOTH - WASHINGTON D.C. - MORNING:	['MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'MULDER']
57:	INT. BETHESDA NAVAL HOSPITAL - MORGUE FREEZER - NIGHT:	None
58:	INT. FBI OFFICE - DALLAS - MORNING - MULDER:	['FIELD AGENT', 'MULDER', 'FIELD AGENT', 'MULDER', 'FIELD AGENT', 'MULDER', 'FIELD AGENT', 'MULDER', 'FIELD AGENT', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'AIDS virus or any other ', 'MULDER', 'SCULLY', 'FIELD AGENT', 'SCULLY', 'MULDER', 'FIELD AGENT']
59:	EXT. SMALL PUBLIC PARK - WEST TEXAS - DAY:	None
60:	INT. DOMED TENT - DAY:	['DR. BRONSCHWEIG']
61:	INT. SMALLER ICE CAVE - DAY:	["ANGLE ON FIREMAN'S BODY"]
62:	INTERCUT WITH::	None
63:	INT. DOMED TENT - DAY:	['DR. BRONSCHWEIG', 'TECHNICIAN', 'DR. BRONSCHWEIG']
64:	INT. ICE CAVE:	['DR. BRONSCHWEIG', "BRONSCHWEIG'S POV", 'DR. BRONSCHWEIG', 'TECHNICIAN', 'DR. BRONSCHWEIG']
65:	INT. ICE CAVE:	['DR. BRONSCHWEIG', 'DR. BRONSCHWEIG']
66:	INT. DOMED TENT - DAY:	None
67:	INT. ICE CAVE:	['THE CREATURE']
68:	EXT. ESTATE SOMEWHERE OUTSIDE LONDON - EARLY EVENING:	["VALET'S VOICE", 'HIS VALET']
69:	INT. SUBURBAN LONDON ESTATE - A BEAUTIFUL STUDY -:	['EVENING', 'WELL-MANICURED MAN', 'CIGARETTE SMOKING MAN', 'WELL-MANICURED MAN']
70:	INTERCUT WITH TIGHT CSM AT INT. KENSINGTON BUILDING:	None
71:	EXT LOC.):	['CIGARETTE SMOKING MAN', 'WELL-MANICURED MAN', 'CIGARETTE SMOKING MAN']
72:	EXT. LONDON STREET - NIGHT:	None
73:	INT. KENSINGTON BUILDING - NIGHT:	['WELL-MANICURED MAN', 'VALET']
74:	INT. LARGE STATELY LIBRARY - NIGHT:	['STRUGHOLD', 'WELL-MANICURED MAN', 'STRUGHOLD', 'HIS POV OF TV MONITOR', 'WELL-MANICURED MAN', 'STRUGHOLD', 'GROUP ELDER', 'WELL-MANICURED MAN', 'CIGARETTE SMOKING MAN', 'WELL-MANICURED MAN', 'STRUGHOLD', 'WELL-MANICURED MAN', 'STRUGHOLD', 'WELL-MANICURED MAN', 'WELL-MANICURED MAN', 'STRUGHOLD', 'WELL-MANICURED MAN', 'STRUGHOLD', 'WELL-MANICURED MAN', 'STRUGHOLD', 'CIGARETTE SMOKING MAN', 'STRUGHOLD', 'WELL-MANICURED MAN', 'STRUGHOLD', 'WELL-MANICURED MAN', 'CIGARETTE SMOKING MAN', 'WELL-MANICURED MAN', 'CIGARETTE SMOKING MAN', 'WELL-MANICURED MAN', 'CIGARETTE SMOKING MAN', 'STRUGHOLD', 'WELL-MANICURED MAN', 'STRUGHOLD', 'ELDER', 'CIGARETTE SMOKING MAN', 'STRUGHOLD', 'WELL-MANICURED MAN', 'STRUGHOLD', 'WELL-MANICURED MAN']
75:	EXT. SMALL PUBLIC PARK - CENTRAL TEXAS - DAY:	['AGENT SCULLY', 'SCULLY', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'SCULLY', 'MULDER', 'MULDER', 'TV.']
76:	EXT. CENTRAL TEXAS HIGHWAY - LATE DAY:	None
77:	INT. MULDER AND SCULLY'S RENTAL CAR - DAY - CONTINUOUS:	['MULDER', 'SCULLY', 'MULDER', 'SCULLY']
78:	EXT. CENTRAL HIGHWAY - LATE DAY:	None
79:	INT. RENTAL CAR:	['MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER']
80:	EXT. TEXAS HIGHWAY - NIGHT:	['MULDER', 'SCULLY', 'REVERSE ON SCENE', 'TRESPASSING.', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY']
81:	EXT. OPPOSITE END OF MOUNTAIN PASS - NIGHT:	['SCULLY', 'MULDER', 'GLOWING WHITE DOMES.']
82:	EXT. GREAT PLATEAU - NIGHT - HIGH WIDE ANGLE:	['TENTS in the b.g.']
83:	EXT. ACRES OF CORN - NIGHT:	['SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'ANGLE BEHIND THE AGENTS']
84:	INT. WHITE DOME TENT - NIGHT:	['SCULLY', 'MULDER', 'HIGH OVERHEAD ANGLE', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'THEIR POV', 'LOUVER VENTS.', 'RESUME MULDER AND SCULLY']
85:	INT. WHITE DOME TENT - NIGHT:	['MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'HIGH ANGLE', 'CLOSE ON SCULLY']
86:	EXT. WHITE DOMED TENT - NIGHT:	None
87:	EXT. ACRES OF CORN - NIGHT - MULDER AND SCULLY - VARIOUS:	['HANDHELD', 'POVs and Tracking shots.', 'REVERSE ON CHOPPERS']
88:	INTO FRAME. She's lost sight of::	['SCULLY', 'MULDER', 'RESUME SCULLY', 'RIGHT.']
89:	INTO FRAME in an:	['NEW ANGLE ON MULDER', 'MULDER', 'SCULLY', 'NEW ANGLE ON SCULLY', 'THEIR POV', 'RESUME MULDER AND SCULLY', 'SCULLY', 'MULDER']
90:	EXT. BLUFF OVERLOOKING CORN FIELDS - NIGHT:	None
91:	INT. FBI OFFICE OF PROFESSIONAL REVIEW - DAY:	['CLOSE ON A FILE', 'THE DOOR TO THE ROOM', 'SKINNER']
92:	INTERCUT WITH::	None
93:	INT. HALLWAY OUTSIDE OPR HEARING ROOM - DAY:	['RESUME OPR HEARING ROOM', 'CASSIDY', 'SCULLY', 'CASSIDY', 'CLOSE PROFILE ON SCULLY', 'SCULLY', 'CASSIDY', 'SCULLY', 'CASSIDY', 'SCULLY', 'CASSIDY', 'SCULLY', 'CASSIDY', 'SCULLY', 'SCULLY', 'CASSIDY', 'SCULLY']
94:	INT. DOWNSCALE D.C. BAR - LATE DAY:	['ANGLE ON KURTZWEIL', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'MULDER', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'ANGLE ON BARMAID']
95:	INT. REAR OF DOWNSCALE BAR - NIGHT - CONTINUOUS:	['MULDER', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', 'MULDER']
96:	EXT. ALLEY BEHIND BAR - DAY:	['MULDER', 'KURTZWEIL', 'MULDER', 'KURTZWEIL', "MULDER'S POV"]
97:	INT. MULDER'S APARTMENT - MAGIC HOUR:	['PICTURE ALBUM.', 'ANGLE OVER MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY']
98:	INT. HALLWAY OUTSIDE MULDER'S APARTMENT - NIGHT:	['MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'MULDER', 'SCULLY', 'SCULLY', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY']
99:	INT. MULDER'S APARTMENT - NIGHT - CONTINUOUS:	['MULDER']
100:	INT. HALLWAY OUTSIDE MULDER'S APARTMENT - NIGHT:	['PARAMEDICS.']
101:	EXT. MULDER'S APARTMENT - NIGHT - CONTINUED HAND HELD:	['MULDER', 'ON MULDER', 'RESUME', 'RESUME MULDER']
102:	EXT. WASHINGTON NATIONAL AIRPORT - NIGHT:	['NEW ANGLE ON TARMAC', 'SCULLY.']
103:	INT. HOSPITAL - NIGHT:	['BYERS', 'LANGLY', 'FROHIKE', 'FROHIKE', 'REVERSE ON MULDER', 'MULDER', 'LANGLY', 'MULDER', 'MULDER', 'BYERS', 'MULDER', 'LANGLY', 'BYERS', 'MULDER', 'FROHIKE', 'LANGLY', 'FROHIKE', 'MULDER', 'BYERS', 'MULDER', 'SKINNER', 'MULDER', 'SKINNER', 'MULDER', 'SKINNER', 'MULDER', 'SKINNER', 'MULDER', 'SKINNER', 'MULDER', 'BYERS', 'SKINNER', 'MULDER', 'FROHIKE', 'MULDER']
104:	INT. HOSPITAL HALLWAY - NIGHT:	['ANGLE ON MAN IN SUIT']
105:	EXT. ALLEY BEHIND DOWNSCALE D.C. BAR - NIGHT:	['WELL-MANICURED MAN', 'KURTZWEIL', 'WELL-MANICURED MAN', 'WELL-MANICURED MAN', 'KURTZWEIL', 'WELL-MANICURED MAN', 'REVERSE ANGLE']
106:	EXT. STREET OUTSIDE DOWNSCALE BAR - NIGHT:	None
107:	INT. DOWNSCALE D.C. BAR - NIGHT:	['RESUME MULDER']
108:	INT. REAR OF DOWNSCALE BAR - NIGHT - CONTINUOUS:	['WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN']
109:	INT. LIMOUSINE - NIGHT - CONTINUOUS:	['MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'WELL-MANICURED MAN', 'WELL-MANICURED MAN']
110:	EXT. DESOLATE D.C. STREET - NIGHT:	['WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'MULDER', 'WELL-MANICURED MAN', 'WELL-MANICURED MAN']
111:	INTO FLAMES, knocking Mulder to the:	['ANGLE ON MULDER']
112:	EXT. POLE OF INACCESSIBILITY - ANTARCTICA:	['CLOSER ON A SNOW TRACTOR']
113:	INT. SNOW TRACTOR:	None
114:	EXTERIOR:	['MOVING WITH MULDER', "MULDER'S POV", 'RESUME MULDER', 'CLOSE ON MULDER', 'WIDE ON SCREEN', 'FOLLOWING MULDER']
115:	INT. SNOW ICE BUBBLE - CONTINUOUS:	['NEW ANGLE', 'CLOSER ON MULDER']
116:	INT. RIBBED CORRIDOR DUCT - CONTINUOUS:	None
117:	INT. UPPER RIBBED CORRIDOR - CONTINUOUS:	["MULDER'S POV", 'NEW ANGLE ON MULDER', 'REVERSE ON MULDER']
118:	EXT. POLE OF INACCESSIBILITY - ANTARCTICA:	None
119:	INT. UPPER RIBBED CORRIDOR - CONTINUOUS:	None
120:	INT. CENTRAL THEATER - BALCONY - CONTINUOUS - WIDE ON:	None
121:	EXTENSION):	['ANGLE OVER MULDER', 'ANGLE ON MULDER', "MULDER'S POV"]
122:	INT. CENTRAL THEATER - BALCONY - CONTINUOUS - WIDE ON:	['MULDER']
123:	INT. TUBULAR SPOKE - CONTINUOUS:	['REVERSE ANGLE ON MULDER']
124:	INT. LOWER CRYOPOD CORRIDOR:	['REVERSE ON THIS CORRIDOR', 'MULDER', 'AMPULE.', 'LOW CLOSE ANGLE']
125:	EXT. HULL OF SPACESHIP/ICY BUBBLE - CONTINUOUS:	None
126:	EXT. ICE STATION - CONTINUOUS:	['MAN WHO SHOT MULDER']
127:	INT. LOWER RIBBED CORRIDOR - CONTINUOUS - AGENT MULDER:	['OVER MULDER TO SCULLY', 'MULDER', 'MULDER', 'MULDER', 'SCULLY', 'MULDER']
128:	EXT. HULL OF SPACESHIP/ICE BUBBLE - CONTINUOUS:	None
129:	EXT. ICE STATION - CONTINUOUS - WIDE:	None
130:	INT. UPPER RIBBED CORRIDORS - CONTINUOUS:	['THE PREHISTORIC MAN']
131:	INT. LOWER RIBBED CORRIDOR - CONTINUOUS:	['VARIOUS SHOTS']
132:	INTERIOR of the steep curving cylinder spoke, as the:	None
133:	INT. LONG TUBE TERMINUS:	['ANGLE ON BALCONY/CATWALK']
134:	INT. LOWER RIBBED CORRIDOR - CONTINUOUS:	['CLOSE ON PODS']
135:	INT. UPPER RIBBED CORRIDOR - CONTINUOUS - ANGLE DOWN:	['CORRIDOR', 'MULDER', 'SCULLY', 'MULDER', 'SCULLY', 'SCULLY', 'MULDER', 'REVERSE ON MULDER', 'LOW ANGLE ON SCULLY', 'MULDER', 'MULDER', 'MULDER', 'RESUME MULDER', 'SCULLY', 'SCULLY', 'WHIP HIS HEAD AROUND.', 'RESUME MULDER', 'MORE CREATURES', 'RESUME MULDER', 'ANGLE DOWN FROM VENT', 'MULDER', 'RESUME MULDER', 'RESUME SCULLY', 'RESUME MULDER', 'RESUME CREATURE', 'TIGHT ANGLE ON MULDER', 'MULDER', 'RESUME SCULLY']
136:	EXT. SNOW/ICE BUBBLE - CONTINUOUS:	None
137:	EXT. POLE OF INACCESSIBILITY - ANTARCTICA - WIDE:	['RESUME MULDER AND SCULLY', 'MULDER', 'WIDE ON SCENE', 'HIGH ANGLE ON SCENE']
138:	EXTREMELY HIGH AND WIDE:	['LOW ANGLE ON ICE SHEET', 'WIDE ON LEADING EDGE']
139:	EXTREME HIGH WIDE ANGLE ON SPACE SHIP:	['RESUME MULDER AND SCULLY', 'THE SPACE SHIP', 'MULDER', 'SCULLY']
140:	EXT. ACRES OF CORN - MAGIC HOUR:	None
141:	INT. FBI FIELD OFFICE - DALLAS - NIGHT:	None
142:	EXT. ACRES OF CORN - WIDE - CGI PLATE:	["JANA CASSIDY'S VOICE"]
143:	INT. FBI OFFICE OF PROFESSIONAL REVIEW - DAY:	['CASSIDY', 'AGENT SCULLY', 'CASSIDY', 'SCULLY', 'CASSIDY', 'SCULLY', 'CASSIDY', 'SCULLY', 'CASSIDY (O.S.)', 'CASSIDY']
144:	EXT. WASHINGTON D.C. - DAY:	['CIGARETTE SMOKING MAN', 'MULDER', 'CIGARETTE SMOKING MAN', 'MULDER', 'WIDE ANGLE']
145:	EXT. CORN FIELDS/WHITE DOMES - TUNISIA - DAY:	['ADVISE. STOP.']
